sequence_id,length,variant,selected_for_simulation,selected_for_hardware,num_variables,num_quadratic_terms
synth_000008,10,strict,True,True,1,0
synth_000008,10,relaxed,True,True,1,0
synth_000008,10,postprocessed,True,True,1,0
synth_000010,10,strict,True,True,1,0
synth_000010,10,relaxed,True,True,1,0
synth_000010,10,postprocessed,True,True,1,0
synth_000012,10,strict,True,True,1,0
synth_000012,10,relaxed,True,True,1,0
synth_000012,10,postprocessed,True,True,1,0
synth_000016,10,strict,True,True,1,0
synth_000016,10,relaxed,True,True,1,0
synth_000016,10,postprocessed,True,True,1,0
synth_000021,10,strict,True,True,1,0
synth_000021,10,relaxed,True,True,1,0
synth_000021,10,postprocessed,True,True,1,0
synth_000024,10,strict,True,True,1,0
synth_000024,10,relaxed,True,True,1,0
synth_000024,10,postprocessed,True,True,1,0
synth_000025,10,strict,True,True,1,0
synth_000025,10,relaxed,True,True,1,0
synth_000025,10,postprocessed,True,True,1,0
synth_000028,10,strict,True,True,1,0
synth_000028,10,relaxed,True,True,1,0
synth_000028,10,postprocessed,True,True,1,0
synth_000032,10,strict,True,True,1,0
synth_000032,10,relaxed,True,True,1,0
synth_000032,10,postprocessed,True,True,1,0
synth_000035,10,strict,True,True,1,0
synth_000035,10,relaxed,True,True,1,0
synth_000035,10,postprocessed,True,True,1,0
synth_000039,10,strict,True,True,1,0
synth_000039,10,relaxed,True,True,1,0
synth_000039,10,postprocessed,True,True,1,0
synth_000042,10,strict,True,True,1,0
synth_000042,10,relaxed,True,True,1,0
synth_000042,10,postprocessed,True,True,1,0
synth_000044,10,strict,True,True,1,0
synth_000044,10,relaxed,True,True,1,0
synth_000044,10,postprocessed,True,True,1,0
synth_000047,10,strict,True,True,1,0
synth_000047,10,relaxed,True,True,1,0
synth_000047,10,postprocessed,True,True,1,0
synth_000050,10,strict,True,True,1,0
synth_000050,10,relaxed,True,True,1,0
synth_000050,10,postprocessed,True,True,1,0
synth_000004,10,strict,True,False,2,1
synth_000004,10,relaxed,True,False,2,1
synth_000004,10,postprocessed,True,False,2,0
synth_000011,10,strict,True,False,2,1
synth_000011,10,relaxed,True,False,2,1
synth_000011,10,postprocessed,True,False,2,0
synth_000017,10,strict,True,False,2,1
synth_000017,10,relaxed,True,False,2,1
synth_000017,10,postprocessed,True,False,2,0
synth_000022,10,strict,True,False,2,1
synth_000022,10,relaxed,True,False,2,1
synth_000022,10,postprocessed,True,False,2,0
synth_000023,10,strict,True,False,2,1
synth_000023,10,relaxed,True,False,2,1
synth_000023,10,postprocessed,True,False,2,0
synth_000029,10,strict,True,False,2,1
synth_000029,10,relaxed,True,False,2,1
synth_000029,10,postprocessed,True,False,2,0
synth_000030,10,strict,True,False,2,1
synth_000030,10,relaxed,True,False,2,1
synth_000030,10,postprocessed,True,False,2,0
synth_000036,10,strict,True,False,2,1
synth_000036,10,relaxed,True,False,2,1
synth_000036,10,postprocessed,True,False,2,0
synth_000037,10,strict,True,False,2,1
synth_000037,10,relaxed,True,False,2,1
synth_000037,10,postprocessed,True,False,2,0
synth_000041,10,strict,True,False,2,1
synth_000041,10,relaxed,True,False,2,0
synth_000041,10,postprocessed,True,False,2,0
synth_000043,10,strict,True,False,2,1
synth_000043,10,relaxed,True,False,2,1
synth_000043,10,postprocessed,True,False,2,0
synth_000048,10,strict,True,False,2,1
synth_000048,10,relaxed,True,False,2,1
synth_000048,10,postprocessed,True,False,2,0
synth_000001,10,strict,True,False,3,3
synth_000001,10,relaxed,True,False,3,2
synth_000001,10,postprocessed,True,False,3,0
synth_000002,10,strict,True,False,3,3
synth_000002,10,relaxed,True,False,3,1
synth_000002,10,postprocessed,True,False,3,0
synth_000009,10,strict,True,False,3,3
synth_000009,10,relaxed,True,False,3,3
synth_000009,10,postprocessed,True,False,3,0
synth_000056,12,strict,True,False,1,0
synth_000056,12,relaxed,True,False,1,0
synth_000056,12,postprocessed,True,False,1,0
synth_000060,12,strict,True,False,1,0
synth_000060,12,relaxed,True,False,1,0
synth_000060,12,postprocessed,True,False,1,0
synth_000061,12,strict,True,False,1,0
synth_000061,12,relaxed,True,False,1,0
synth_000061,12,postprocessed,True,False,1,0
synth_000073,12,strict,True,False,1,0
synth_000073,12,relaxed,True,False,1,0
synth_000073,12,postprocessed,True,False,1,0
synth_000093,12,strict,True,False,1,0
synth_000093,12,relaxed,True,False,1,0
synth_000093,12,postprocessed,True,False,1,0
synth_000066,12,strict,True,False,2,1
synth_000066,12,relaxed,True,False,2,1
synth_000066,12,postprocessed,True,False,2,0
synth_000088,12,strict,True,False,2,1
synth_000088,12,relaxed,True,False,2,1
synth_000088,12,postprocessed,True,False,2,0
synth_000100,12,strict,True,False,2,1
synth_000100,12,relaxed,True,False,2,0
synth_000100,12,postprocessed,True,False,2,0
synth_000055,12,strict,True,False,3,3
synth_000055,12,relaxed,True,False,3,3
synth_000055,12,postprocessed,True,False,3,0
synth_000067,12,strict,True,False,3,3
synth_000067,12,relaxed,True,False,3,3
synth_000067,12,postprocessed,True,False,3,0
synth_000069,12,strict,True,False,3,3
synth_000069,12,relaxed,True,False,3,1
synth_000069,12,postprocessed,True,False,3,0
synth_000071,12,strict,True,False,3,3
synth_000071,12,relaxed,True,False,3,3
synth_000071,12,postprocessed,True,False,3,0
synth_000082,12,strict,True,False,3,3
synth_000082,12,relaxed,True,False,3,2
synth_000082,12,postprocessed,True,False,3,0
synth_000058,12,strict,True,False,4,6
synth_000058,12,relaxed,True,False,4,5
synth_000058,12,postprocessed,True,False,4,0
synth_000063,12,strict,True,False,4,6
synth_000063,12,relaxed,True,False,4,5
synth_000063,12,postprocessed,True,False,4,0
synth_000068,12,strict,True,False,4,6
synth_000068,12,relaxed,True,False,4,6
synth_000068,12,postprocessed,True,False,4,0
synth_000070,12,strict,True,False,4,6
synth_000070,12,relaxed,True,False,4,5
synth_000070,12,postprocessed,True,False,4,0
synth_000080,12,strict,True,False,4,6
synth_000080,12,relaxed,True,False,4,6
synth_000080,12,postprocessed,True,False,4,0
synth_000089,12,strict,True,False,4,6
synth_000089,12,relaxed,True,False,4,6
synth_000089,12,postprocessed,True,False,4,0
synth_000094,12,strict,True,False,4,6
synth_000094,12,relaxed,True,False,4,3
synth_000094,12,postprocessed,True,False,4,0
synth_000072,12,strict,True,False,5,10
synth_000072,12,relaxed,True,False,5,9
synth_000072,12,postprocessed,True,False,5,0
synth_000075,12,strict,True,False,5,9
synth_000075,12,relaxed,True,False,5,8
synth_000075,12,postprocessed,True,False,5,0
synth_000078,12,strict,True,False,5,10
synth_000078,12,relaxed,True,False,5,8
synth_000078,12,postprocessed,True,False,5,0
synth_000091,12,strict,True,False,5,10
synth_000091,12,relaxed,True,False,5,7
synth_000091,12,postprocessed,True,False,5,0
synth_000051,12,strict,True,False,6,15
synth_000051,12,relaxed,True,False,6,9
synth_000051,12,postprocessed,True,False,6,0
synth_000083,12,strict,True,False,6,15
synth_000083,12,relaxed,True,False,6,11
synth_000083,12,postprocessed,True,False,6,0
synth_000086,12,strict,True,False,6,15
synth_000086,12,relaxed,True,False,6,15
synth_000086,12,postprocessed,True,False,6,0
synth_000087,12,strict,True,False,6,15
synth_000087,12,relaxed,True,False,6,13
synth_000087,12,postprocessed,True,False,6,0
synth_000098,12,strict,True,False,6,15
synth_000098,12,relaxed,True,False,6,12
synth_000098,12,postprocessed,True,False,6,0
synth_000057,12,strict,True,False,7,20
synth_000057,12,relaxed,True,False,7,20
synth_000057,12,postprocessed,True,False,7,0
synth_000112,14,strict,True,False,1,0
synth_000112,14,relaxed,True,False,1,0
synth_000112,14,postprocessed,True,False,1,0
synth_000141,14,strict,True,False,1,0
synth_000141,14,relaxed,True,False,1,0
synth_000141,14,postprocessed,True,False,1,0
synth_000101,14,strict,True,False,2,1
synth_000101,14,relaxed,True,False,2,1
synth_000101,14,postprocessed,True,False,2,0
synth_000114,14,strict,True,False,2,1
synth_000114,14,relaxed,True,False,2,1
synth_000114,14,postprocessed,True,False,2,0
synth_000115,14,strict,True,False,2,1
synth_000115,14,relaxed,True,False,2,1
synth_000115,14,postprocessed,True,False,2,0
synth_000130,14,strict,True,False,2,1
synth_000130,14,relaxed,True,False,2,1
synth_000130,14,postprocessed,True,False,2,0
synth_000133,14,strict,True,False,2,1
synth_000133,14,relaxed,True,False,2,0
synth_000133,14,postprocessed,True,False,2,0
synth_000139,14,strict,True,False,2,1
synth_000139,14,relaxed,True,False,2,1
synth_000139,14,postprocessed,True,False,2,0
synth_000124,14,strict,True,False,3,3
synth_000124,14,relaxed,True,False,3,3
synth_000124,14,postprocessed,True,False,3,0
synth_000127,14,strict,True,False,3,3
synth_000127,14,relaxed,True,False,3,2
synth_000127,14,postprocessed,True,False,3,0
synth_000131,14,strict,True,False,3,3
synth_000131,14,relaxed,True,False,3,3
synth_000131,14,postprocessed,True,False,3,0
synth_000140,14,strict,True,False,3,3
