sequence_id,length,variant,backend_mode,backend_name,run_id,run_seed,num_variables,num_quadratic_terms,num_qubits,circuit_depth,best_optimized_objective,optimizer_evaluations,optimization_runtime_seconds,sampling_runtime_seconds,optimization_shots,sampling_shots,qaoa_reps,retained_samples,optimal_parameters_json,job_id,parameter_source,donor_sequence_id,donor_length,donor_num_variables
synth_000008,10,strict,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.1992127010000786,0.00464613899998767,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000008,10,relaxed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.1804869959998996,0.005666529000109222,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000008,10,postprocessed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.19828560100017967,0.015783155000008264,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000010,10,strict,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.43587832999992315,0.008726447000071857,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000010,10,relaxed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.5136719560000529,0.01308290599990869,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000010,10,postprocessed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.3446044180000172,0.004942977999917275,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000012,10,strict,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.18065454600014164,0.005986178000057407,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000012,10,relaxed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.14763231599999926,0.004297609000104785,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000012,10,postprocessed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.1505414049997853,0.004417089000071428,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000016,10,strict,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.1747830479998811,0.006049437999990914,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000016,10,relaxed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.14532985599998938,0.0047057589999894844,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000016,10,postprocessed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.18608171400001083,0.0048416590000215365,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000021,10,strict,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.18995445299992753,0.004629978999901141,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000021,10,relaxed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.16704162999985783,0.006086038000148619,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000021,10,postprocessed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.20467508899992026,0.004897598000070502,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000024,10,strict,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.21890217399982248,0.005479849000039394,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000024,10,relaxed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.1489193449999675,0.004889858999831631,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000024,10,postprocessed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.19714073199997983,0.005410997999888423,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000025,10,strict,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.24442726699999184,0.006096969000054742,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000025,10,relaxed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.2193847949999963,0.004710657999794421,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000025,10,postprocessed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.17996726599994872,0.005803347999972175,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000028,10,strict,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.2250857429999087,0.005083388999992167,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000028,10,relaxed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.16362440099987907,0.006238307999865356,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000028,10,postprocessed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.16496544000005997,0.00431097800014868,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000032,10,strict,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.1816917060000378,0.012255546999995204,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000032,10,relaxed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.1875915939999686,0.005202037999879394,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000032,10,postprocessed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.14865276599994104,0.004551579000008132,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000035,10,strict,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.15930732200013153,0.004994078999970952,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000035,10,relaxed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.17677710699990712,0.004777878999902896,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000035,10,postprocessed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.1518332040000132,0.005281158000116193,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000039,10,strict,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.16540525100003833,0.004519568999967305,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000039,10,relaxed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.17116828899997927,0.006376977999934752,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000039,10,postprocessed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.3569284630000311,0.014616336000017327,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000042,10,strict,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.365714300000036,0.008654347000174312,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000042,10,relaxed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.2749254079999446,0.0074689579998903355,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000042,10,postprocessed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.3767847179999535,0.005613378999896668,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000044,10,strict,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.21096408699986569,0.005622119000008752,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000044,10,relaxed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.1779069060000893,0.005035258999896541,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000044,10,postprocessed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.20471515900021586,0.004991948999986562,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000047,10,strict,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.20862025800010997,0.0052222490000986,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000047,10,relaxed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.1682473599998957,0.004884009000079459,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000047,10,postprocessed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.17512861800014434,0.006068207999987862,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000050,10,strict,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.17072978900000635,0.005549588999883781,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000050,10,relaxed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.13424256000007517,0.0054354590001821634,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000050,10,postprocessed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.14799302599999464,0.014468496000063169,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000004,10,strict,aer,aer_simulator,aer_run_01_seed_666,666,2,1,2,4,-2.0,25.0,0.19120824300011918,0.005224828999871534,1024.0,2048,1,4,"[4.348246626432866, 0.462327449702854]",,,,,
synth_000004,10,relaxed,aer,aer_simulator,aer_run_01_seed_666,666,2,1,2,4,-2.0,25.0,0.16090752200011593,0.006136088000175732,1024.0,2048,1,4,"[4.343465574476097, 0.9098610679995797]",,,,,
synth_000004,10,postprocessed,aer,aer_simulator,aer_run_01_seed_666,666,2,0,2,2,-4.0,20.0,0.1504789850000634,0.005646368000043367,1024.0,2048,1,2,"[3.917652576801286, 2.3397715993287727]",,,,,
synth_000011,10,strict,aer,aer_simulator,aer_run_01_seed_666,666,2,1,2,4,-2.0,25.0,0.16779769999993732,0.00557051800001318,1024.0,2048,1,4,"[4.348246626432866, 0.462327449702854]",,,,,
synth_000011,10,relaxed,aer,aer_simulator,aer_run_01_seed_666,666,2,1,2,4,-2.0,25.0,0.20961597699988488,0.011554746999991039,1024.0,2048,1,4,"[4.343465574476097, 0.9098610679995797]",,,,,
synth_000011,10,postprocessed,aer,aer_simulator,aer_run_01_seed_666,666,2,0,2,2,-4.0,20.0,0.19554771200000687,0.005577318000177911,1024.0,2048,1,2,"[3.917652576801286, 2.3397715993287727]",,,,,
synth_000017,10,strict,aer,aer_simulator,aer_run_01_seed_666,666,2,1,2,4,-2.0,25.0,0.5942289330000676,0.020871323999926972,1024.0,2048,1,4,"[4.348246626432866, 0.462327449702854]",,,,,
synth_000017,10,relaxed,aer,aer_simulator,aer_run_01_seed_666,666,2,1,2,4,-2.0,25.0,0.35362874500015096,0.005599638000148843,1024.0,2048,1,4,"[4.343465574476097, 0.9098610679995797]",,,,,
synth_000017,10,postprocessed,aer,aer_simulator,aer_run_01_seed_666,666,2,0,2,2,-4.0,20.0,0.16299687200012158,0.005910459000006085,1024.0,2048,1,2,"[3.917652576801286, 2.3397715993287727]",,,,,
synth_000022,10,strict,aer,aer_simulator,aer_run_01_seed_666,666,2,1,2,4,-2.0,25.0,0.20392666800012194,0.005999508999821046,1024.0,2048,1,4,"[4.348246626432866, 0.462327449702854]",,,,,
synth_000022,10,relaxed,aer,aer_simulator,aer_run_01_seed_666,666,2,1,2,4,-2.0,25.0,0.19345617199996923,0.005627698000125747,1024.0,2048,1,4,"[4.343465574476097, 0.9098610679995797]",,,,,
synth_000022,10,postprocessed,aer,aer_simulator,aer_run_01_seed_666,666,2,0,2,2,-4.0,20.0,0.1596033420000822,0.006737367999903654,1024.0,2048,1,2,"[3.917652576801286, 2.3397715993287727]",,,,,
synth_000023,10,strict,aer,aer_simulator,aer_run_01_seed_666,666,2,1,2,4,-2.0,25.0,0.21815181500005565,0.005788109000150143,1024.0,2048,1,4,"[4.348246626432866, 0.462327449702854]",,,,,
synth_000023,10,relaxed,aer,aer_simulator,aer_run_01_seed_666,666,2,1,2,4,-2.0,25.0,0.19993711100005385,0.00549150799997733,1024.0,2048,1,4,"[4.343465574476097, 0.9098610679995797]",,,,,
synth_000023,10,postprocessed,aer,aer_simulator,aer_run_01_seed_666,666,2,0,2,2,-4.0,20.0,0.32031826399997954,0.005373158000111289,1024.0,2048,1,2,"[3.917652576801286, 2.3397715993287727]",,,,,
synth_000029,10,strict,aer,aer_simulator,aer_run_01_seed_666,666,2,1,2,4,-2.0,25.0,0.4042412190001414,0.015385916000013822,1024.0,2048,1,4,"[4.343465574476097, 0.9098610679995797]",,,,,
synth_000029,10,relaxed,aer,aer_simulator,aer_run_01_seed_666,666,2,1,2,4,-2.0,25.0,0.30480897899997217,0.00696005800000421,1024.0,2048,1,4,"[4.343465574476097, 0.9098610679995797]",,,,,
synth_000029,10,postprocessed,aer,aer_simulator,aer_run_01_seed_666,666,2,0,2,2,-4.0,20.0,0.2792666370000916,0.00534797799991793,1024.0,2048,1,2,"[3.917652576801286, 2.3397715993287727]",,,,,
synth_000030,10,strict,aer,aer_simulator,aer_run_01_seed_666,666,2,1,2,4,-2.0,25.0,0.17034731900002953,0.005257788000108121,1024.0,2048,1,4,"[4.348246626432866, 0.462327449702854]",,,,,
synth_000030,10,relaxed,aer,aer_simulator,aer_run_01_seed_666,666,2,1,2,4,-2.0,25.0,0.18712220399993384,0.005456888000026083,1024.0,2048,1,4,"[4.343465574476097, 0.9098610679995797]",,,,,
synth_000030,10,postprocessed,aer,aer_simulator,aer_run_01_seed_666,666,2,0,2,2,-4.0,20.0,0.14194498699998803,0.00542790800000148,1024.0,2048,1,2,"[3.917652576801286, 2.3397715993287727]",,,,,
synth_000036,10,strict,aer,aer_simulator,aer_run_01_seed_666,666,2,1,2,4,-2.0,25.0,0.21827385500000673,0.005225758000051428,1024.0,2048,1,4,"[4.348246626432866, 0.462327449702854]",,,,,
synth_000036,10,relaxed,aer,aer_simulator,aer_run_01_seed_666,666,2,1,2,4,-2.0,25.0,0.2024282890001814,0.005664969000008568,1024.0,2048,1,4,"[4.343465574476097, 0.9098610679995797]",,,,,
synth_000036,10,postprocessed,aer,aer_simulator,aer_run_01_seed_666,666,2,0,2,2,-4.0,20.0,0.1286481019999428,0.004885699000169552,1024.0,2048,1,2,"[3.917652576801286, 2.3397715993287727]",,,,,
synth_000037,10,strict,aer,aer_simulator,aer_run_01_seed_666,666,2,1,2,4,-2.0,25.0,0.15952913199998875,0.00544446899994,1024.0,2048,1,4,"[4.348246626432866, 0.462327449702854]",,,,,
synth_000037,10,relaxed,aer,aer_simulator,aer_run_01_seed_666,666,2,1,2,4,-2.0,25.0,0.17106068899988713,0.006050287999869397,1024.0,2048,1,4,"[4.343465574476097, 0.9098610679995797]",,,,,
synth_000037,10,postprocessed,aer,aer_simulator,aer_run_01_seed_666,666,2,0,2,2,-4.0,20.0,0.12315644299997075,0.0049634889999197185,1024.0,2048,1,2,"[3.917652576801286, 2.3397715993287727]",,,,,
synth_000041,10,strict,aer,aer_simulator,aer_run_01_seed_666,666,2,1,2,4,-2.0,25.0,0.19812992100014526,0.00760798800001794,1024.0,2048,1,4,"[4.343465574476097, 0.9098610679995797]",,,,,
synth_000041,10,relaxed,aer,aer_simulator,aer_run_01_seed_666,666,2,0,2,2,-4.0,20.0,0.1416923780000161,0.00586524899995311,1024.0,2048,1,2,"[3.917652576801286, 2.3397715993287727]",,,,,
synth_000041,10,postprocessed,aer,aer_simulator,aer_run_01_seed_666,666,2,0,2,2,-4.0,20.0,0.1398643989998618,0.004809677999901396,1024.0,2048,1,2,"[3.917652576801286, 2.3397715993287727]",,,,,
synth_000043,10,strict,aer,aer_simulator,aer_run_01_seed_666,666,2,1,2,4,-2.0,25.0,0.19355051200000162,0.005794958000024053,1024.0,2048,1,4,"[4.348246626432866, 0.462327449702854]",,,,,
synth_000043,10,relaxed,aer,aer_simulator,aer_run_01_seed_666,666,2,1,2,4,-2.0,25.0,0.16754365999986476,0.00540788800003611,1024.0,2048,1,4,"[4.343465574476097, 0.9098610679995797]",,,,,
synth_000043,10,postprocessed,aer,aer_simulator,aer_run_01_seed_666,666,2,0,2,2,-4.0,20.0,0.14300061699987054,0.004744888999994146,1024.0,2048,1,2,"[3.917652576801286, 2.3397715993287727]",,,,,
synth_000048,10,strict,aer,aer_simulator,aer_run_01_seed_666,666,2,1,2,4,-2.0,25.0,0.16276852200007852,0.00721449799993934,1024.0,2048,1,4,"[4.348246626432866, 0.462327449702854]",,,,,
synth_000048,10,relaxed,aer,aer_simulator,aer_run_01_seed_666,666,2,1,2,4,-2.0,25.0,0.1968545310000991,0.0053222789999836095,1024.0,2048,1,4,"[4.343465574476097, 0.9098610679995797]",,,,,
synth_000048,10,postprocessed,aer,aer_simulator,aer_run_01_seed_666,666,2,0,2,2,-4.0,20.0,0.13694061900014276,0.005509928000037689,1024.0,2048,1,2,"[3.917652576801286, 2.3397715993287727]",,,,,
synth_000001,10,strict,aer,aer_simulator,aer_run_01_seed_666,666,3,3,3,6,-2.0,25.0,0.24908990500011896,0.00582495799994831,1024.0,2048,1,8,"[4.140331489820104, 0.8040747659314705]",,,,,
synth_000001,10,relaxed,aer,aer_simulator,aer_run_01_seed_666,666,3,2,3,6,-4.0,21.0,0.20276794899996275,0.00762956799985659,1024.0,2048,1,8,"[4.316992287417883, 0.6442444034262854]",,,,,
synth_000001,10,postprocessed,aer,aer_simulator,aer_run_01_seed_666,666,3,0,3,2,-6.0,22.0,0.19288260300004367,0.005962498000144478,1024.0,2048,1,2,"[3.9124537355223246, 2.338906415126272]",,,,,
synth_000002,10,strict,aer,aer_simulator,aer_run_01_seed_666,666,3,3,3,7,-2.0,25.0,0.20613357800016274,0.005979047999971954,1024.0,2048,1,8,"[6.600547520706949, -0.36664486189470885]",,,,,
synth_000002,10,relaxed,aer,aer_simulator,aer_run_01_seed_666,666,3,1,3,4,-4.0,25.0,0.23452105999990636,0.0068677680001201225,1024.0,2048,1,8,"[4.264259308832547, 2.131780097384969]",,,,,
synth_000002,10,postprocessed,aer,aer_simulator,aer_run_01_seed_666,666,3,0,3,2,-6.0,22.0,0.2025381189998825,0.007685357999889675,1024.0,2048,1,2,"[3.9124537355223246, 2.338906415126272]",,,,,
